Job Title,Company Name,Location,Salary,Worktype,Link
Mechatronic's Engineer,Medico Supplies Inc.,"Surrey, BC",,0,indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Axa1dU1U1_was_Uecok4LbPDPiPHBq-up6XVbgrGZLZ5A-VNsx-iPTL4SLWYN41UsQd5snhz0de2fky_kAXQXqPx5l3YZD7gQycO6l7xwu1umm8x0ewVUZkMEHuuYYoU3iFSG2yL4HzjMl8SBzGldFSba7j2xWvybM_ZYzyccIQ1lLoztwBUlKTIV1Ai4LsZrsm9faDrV7uiYpEp2hAYRHjsFDX50g-nrwppHkdpWcZmqIjBadjxfrYmg3CtyyDUP4o-vEDNq3MAGcenirNE1x-I3HthP6qpmQSXrhNJjmm6VuBE8t_PnXwdULEqpMc8vE8SVEgcLBSl0L_ZPxxPXzQ-kzEKe6mdFYpqwTXzvNj_SVtJKkPk62iXPvkK_JAfh0LWoS2aoKLciJ3EVl-mps5SW6699SBV3lWtcSBtwP5M2Jv-YE1M1czCiIAZFg6hBt7kDLHv4RgBZAOPsKBYKV88TLWwKGxI0-P9kGZvpHKCbaJe7tr4vg8N3zdgBNTrqot3eLjz-PNtHPz8Wdor_RkDNNnuwwvKecx19Dz35o2g==&xkcb=SoBx-_M3RyDRJiXIyp0LbzkdCdPP&p=0&fvj=1&vjs=3
Controls and Automation Engineer,Saltworks Technologies,"Richmond, BC",,0,indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DmjMFD7t1aapg_hM7HdW-m13kXR2shUtKNjvZuU8J7nxeEhB4TOEt9CzEqQ2BOrMA_fCA4OsaykZT522COJs38s-wdWax4bXm5nvYhRBm5ky2vkQ70DIi6sJrtxAYDfbei9yZgnR5IPGHdIe3VV8AKB8wLNAcDgyR6I6EViNjbC2YlzRxa9qmpCJrnu5urI7KjScT1B1xUraY_mGODVrMno5vi9mctLrE7is-p1_EgAzIObTzaaa7oJQC2KxIYpYdAhWH51cJLN18p2UNh-g4yVaI0B8S-ULgUaS05_5AetPohAFw5Ex3IUUCmqyaSerHdO2vm_b2ddq6y5MIO14OMQKP7LJMPbMYVQ-MEW_KFu_nvs--pRqthW3s76zhA3Nk-8mOnjIcqcwG_e9oFrvXTvAtnTdphBqNgZDlWzrcVGDCN_aKM854xNxsoxduUBpgYS_wYuomnKA_cwJaZR-Ky5rVl15g84HgAolrnGJMSMYVr5wRqd56FkGx8ZnnbtipwXWsjEZYQu_q0K8GJPJnrP1xR-KUqzsub6zS3OLHIvq8tbVdpChSznX85fpHJMsqcE09-lvpK8LhXMqaxLSWQ&xkcb=SoDF-_M3RyDRJiXIyp0KbzkdCdPP&p=1&fvj=0&vjs=3
Junior Automation Engineer,Fresh Prep,"Remote in Vancouver, BC",,0,indeed.com/rc/clk?jk=de519b90db24144f&fccid=c662ab679c5268a8&vjs=3
Engineering Technician (2nd shift),MineSense Technologies,"Vancouver, BC",,0,indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ANdFiWR7-wGHDfpDrghzygG4lgo7cn-lhJ1l83wfyms9lRqDbCG66qQZV3uU1gwN5Kq-vnZe9xBu7yWne-Y8koUvpKsH5rDTGi2vFJIuixf-BHV9kPbnCQreHwcb8FiUM1Ffkdz5tHZLg9Z7w2H0CsxKEuLRJqVYDyDJ_NS6q1ezTaIUbK9cvWWK5_jXsZX5MN8lLEm8laTeo00d5Mh02ADcKcbJamGg0exr_1KMDoX6Gl5kFaJJeAlD1IALz1YKsfVpmRTJvYSLHDnutdI3UeLoOhEjKs3E7XdWLBN1S-IS5770GCTaJasVh7NhVTO8zKCSqr_Bk8uhMJaTjQdbr2TWq9BQ6RvHej0uiUO8-W21PDL_rLf6CaOEx3ItbKlFdADJUqU0oec43fJzXkHokZSvET9yszahJPtFeXfbVFGuLpodDKsmrNsOuIxLq-svMrFgeTqzc1Lu_jlGy-VWy2ziFeHWl7qRpOcSKxTvfQ-BqcGKY4LO3mkVV3tDdJDiBwTfn7ogjuRwyJoo5F7s-OXpx7Zzb-c4BscvDDkTOTUwqrjJW_5TaW&xkcb=SoDs-_M3RyDRJiXIyp0IbzkdCdPP&p=3&fvj=1&vjs=3
Process Control and Automation Engineer,Sedgman Limited,"Vancouver, BC",,0,indeed.com/rc/clk?jk=f8abecbdc80f1095&fccid=3ab097d1c2026c18&vjs=3
"Assistant Instructor, Mechanical Engineering",British Columbia Institute of Technology (BCIT),"Hybrid remote in Burnaby, BC",,0,indeed.com/rc/clk?jk=934c96df2f4fab91&fccid=a874193b682c9f05&vjs=3
Mechanical/ Mechatronics Engineer,Norsat International Inc.,"Richmond, BC",,0,indeed.com/rc/clk?jk=d476ee8429376660&fccid=058f788ce0775a15&vjs=3
Mechatronics Engineering Technologist,University of British Columbia,"Vancouver, BC",,0,indeed.com/rc/clk?jk=c39d8257b245b8f5&fccid=462e6068c17c7702&vjs=3
Systems Engineer,Pall,"Vancouver, BC",,0,indeed.com/rc/clk?jk=6f3e917a2655409e&fccid=6b9db9eca92347b6&vjs=3
Systems Engineer,Pall Corporation,"Vancouver, BC",,0,indeed.com/rc/clk?jk=b28a81b5874af1d5&fccid=6b9db9eca92347b6&vjs=3
Systems Engineering Co-op,Stryker,"Burnaby, BC",,0,indeed.com/rc/clk?jk=e70f3d9c1fac1e89&fccid=9d4dbca3ed8b9cdf&vjs=3
Senior Test Engineer,"MKS Instruments, Inc.","Richmond, BC",,0,indeed.com/company/MKS-Instruments/jobs/Senior-Test-Engineer-05c803ef9ef54116?fccid=56107a2157065d1b&vjs=3
Control Systems Engineer,Brock Solutions,"Vancouver, BC",,0,indeed.com/rc/clk?jk=161d52c48dd09962&fccid=76900f8ba61b1d82&vjs=3
Mechanical Engineer,Powertech Labs,"Surrey, BC",,0,indeed.com/rc/clk?jk=b1b9ba00261b14f1&fccid=0872f7aeec5f932b&vjs=3
Automation Engineer / Specialist,Cytiva,"Burnaby, BC",,0,indeed.com/rc/clk?jk=bb71e14877f45faa&fccid=c46411dafcae5d08&vjs=3
Senior Systems Engineer,STEMCELL Technologies,"Vancouver, BC",,0,indeed.com/rc/clk?jk=1c84ca474610fa27&fccid=1495fd2cb143fcaf&vjs=3
"Controls Engineer, Body Controls",Rivian Automotive,"Vancouver, BC",,0,indeed.com/rc/clk?jk=9c3b306b490ac6a6&fccid=ab392afaee93f976&vjs=3
Senior Control System Engineer,Schneider Electric,"Hybrid remote in Richmond, BC",,0,indeed.com/rc/clk?jk=4cd64a441a04a894&fccid=8dc4399ddb463d4a&vjs=3
Mechanical Test Engineer,Svante,"Burnaby, BC",,0,indeed.com/rc/clk?jk=14a69c1a0af65a2d&fccid=26fec5d11cd12bdc&vjs=3
Systems Engineer,Norsat International Inc.,"Richmond, BC",,0,indeed.com/rc/clk?jk=aef907be92d89aa8&fccid=058f788ce0775a15&vjs=3
Controls Project Engineer,Vanderlande Industries,"Vancouver, BC",,0,indeed.com/rc/clk?jk=f7df2b6cd3463fb9&fccid=9b9f0bf4b54e4b3d&vjs=3
Hardware Eng I,Neurio Technology,"Vancouver, BC",,0,indeed.com/rc/clk?jk=550ff7364e16adaf&fccid=fc0e2653bb315994&vjs=3
Senior Process Control and Automation Engineer,Sedgman Limited,"Vancouver, BC",,0,indeed.com/rc/clk?jk=e286999c54836cc4&fccid=3ab097d1c2026c18&vjs=3
Remote Handling Targets Mechanical Engineer,TRIUMF,"Remote in Vancouver, BC",,0,indeed.com/company/TRIUMF/jobs/Remote-Handling-Target-Mechanical-Engineer-b8860fb97523d0d4?fccid=1e3594a0673dd56c&vjs=3
Hardware Engineer,Epic Safety Inc.,"North Vancouver, BC",,0,indeed.com/company/Epic-Safety-Inc./jobs/Hardware-Engineer-80119ff7754c73b1?fccid=82a1f4ef27d67411&vjs=3
Mechanical Engineer,Pall Corporation,"Vancouver, BC",,0,indeed.com/rc/clk?jk=827bb76ca607d37f&fccid=6b9db9eca92347b6&vjs=3
Manufacturing Controls Engineer,Svante,"Burnaby, BC",,0,indeed.com/rc/clk?jk=93680b0a2e73623e&fccid=26fec5d11cd12bdc&vjs=3
Telerobotics Engineer & Pilot,Sanctuary AI,"Remote in Vancouver, BC",,0,indeed.com/rc/clk?jk=fc9bedcd58a5a512&fccid=e6babae295ce401e&vjs=3
Sr. Dynamics Controls Engineer,Rivian Automotive,"Vancouver, BC",,0,indeed.com/rc/clk?jk=c92f96fb736124f7&fccid=ab392afaee93f976&vjs=3
Project Manager - Automation,Brock Solutions,"Vancouver, BC",,0,indeed.com/rc/clk?jk=7b60119a0dfc24bc&fccid=76900f8ba61b1d82&vjs=3
Electrical Engineer (Manufacturing),Wexxar Packaging,"Richmond, BC",,0,indeed.com/rc/clk?jk=7a4cd156627e9a8d&fccid=deb2cc13c049961b&vjs=3
Hardware Systems Design Engineer,Weir Group,"Vancouver, BC",,0,indeed.com/rc/clk?jk=1c05c8e9fe8178a9&fccid=8137be09b3b9a5db&vjs=3
Senior Embedded Engineer,Zinc8 Energy Solutions Inc.,"Richmond, BC+1 location",,0,indeed.com/rc/clk?jk=32361df595c72e00&fccid=5c9a5be72af7ea34&vjs=3
Field Services Engineer,Weir Group,"Remote in Vancouver, BC",,0,indeed.com/rc/clk?jk=9d349e50f2ecaf27&fccid=8137be09b3b9a5db&vjs=3
Automation Controls Engineering Lead,automationX Industrial Solutions,"Hybrid remote in Vancouver, BC",,0,indeed.com/company/automationX/jobs/Automation-Control-Engineering-Lead-bff0accb209848a8?fccid=32b4c2823524e6e5&vjs=3
Junior Mechanical/ Mechatronics Engineer,Norsat International Inc.,"Richmond, BC",,0,indeed.com/rc/clk?jk=2641c2a5045b1b1a&fccid=058f788ce0775a15&vjs=3
Mechanical Engineer,Pall,"Vancouver, BC",,0,indeed.com/rc/clk?jk=8a2f5e665e2bc74b&fccid=6b9db9eca92347b6&vjs=3
Senior Electronics Engineer,Ballard Power Systems Inc.,"Vancouver, BC",,0,indeed.com/rc/clk?jk=5a33b54df7aed6d1&fccid=0ef6dc28de653b3a&vjs=3
Field Service Engineer,Sanctuary AI,"Vancouver, BC",,0,indeed.com/rc/clk?jk=6f95b43dafbe0952&fccid=e6babae295ce401e&vjs=3
Senior Electrical Test Engineer,Enersys,"Burnaby, BC",,0,indeed.com/rc/clk?jk=a268dc66bc64e4a9&fccid=32d6ff8cab0a14ae&vjs=3
"HEAD OF ROBOTICS SOFTWARE - STARTUP (IoT, embedded, and backend)",Cibotica Inc.,"Vancouver, BC",,0,indeed.com/company/Cibotica-Inc./jobs/Head-Robotic-Software-e4793e0249cc3030?fccid=e1891d2664808c11&vjs=3
Mechanical Engineering Co-Op,Stryker,"Burnaby, BC",,0,indeed.com/rc/clk?jk=ec535cb2f8b3c093&fccid=9d4dbca3ed8b9cdf&vjs=3
Electrical Engineer (Manufacturing),ProMach,"Richmond, BC",,0,indeed.com/rc/clk?jk=e34b6167f2df28f1&fccid=27021f4936bfffb0&vjs=3
Remote Handling Beamlines Mechanical Engineer,TRIUMF,"Remote in Vancouver, BC",,0,indeed.com/company/TRIUMF/jobs/Remote-Handling-Beamline-Mechanical-Engineer-70408d128f9ae5ba?fccid=1e3594a0673dd56c&vjs=3
Sr. Dynamics Controls Engineer,Rivian Automotive,"Vancouver, BC",,0,indeed.com/rc/clk?jk=c92f96fb736124f7&fccid=ab392afaee93f976&vjs=3
Electrical Engineer (Manufacturing),Wexxar Packaging,"Richmond, BC",,0,indeed.com/rc/clk?jk=7a4cd156627e9a8d&fccid=deb2cc13c049961b&vjs=3
Hardware Systems Design Engineer,Weir Group,"Vancouver, BC",,0,indeed.com/rc/clk?jk=1c05c8e9fe8178a9&fccid=8137be09b3b9a5db&vjs=3
Senior Embedded Engineer,Zinc8 Energy Solutions Inc.,"Richmond, BC+1 location",,0,indeed.com/rc/clk?jk=32361df595c72e00&fccid=5c9a5be72af7ea34&vjs=3
Field Services Engineer,Weir Group,"Remote in Vancouver, BC",,0,indeed.com/rc/clk?jk=9d349e50f2ecaf27&fccid=8137be09b3b9a5db&vjs=3
Automation Controls Engineering Lead,automationX Industrial Solutions,"Hybrid remote in Vancouver, BC",,0,indeed.com/company/automationX/jobs/Automation-Control-Engineering-Lead-bff0accb209848a8?fccid=32b4c2823524e6e5&vjs=3
Junior Mechanical/ Mechatronics Engineer,Norsat International Inc.,"Richmond, BC",,0,indeed.com/rc/clk?jk=2641c2a5045b1b1a&fccid=058f788ce0775a15&vjs=3
Mechanical Engineer,Pall,"Vancouver, BC",,0,indeed.com/rc/clk?jk=8a2f5e665e2bc74b&fccid=6b9db9eca92347b6&vjs=3
Senior Electronics Engineer,Ballard Power Systems Inc.,"Vancouver, BC",,0,indeed.com/rc/clk?jk=5a33b54df7aed6d1&fccid=0ef6dc28de653b3a&vjs=3
Field Service Engineer,Sanctuary AI,"Vancouver, BC",,0,indeed.com/rc/clk?jk=6f95b43dafbe0952&fccid=e6babae295ce401e&vjs=3
Senior Electrical Test Engineer,Enersys,"Burnaby, BC",,0,indeed.com/rc/clk?jk=a268dc66bc64e4a9&fccid=32d6ff8cab0a14ae&vjs=3
"HEAD OF ROBOTICS SOFTWARE - STARTUP (IoT, embedded, and backend)",Cibotica Inc.,"Vancouver, BC",,0,indeed.com/company/Cibotica-Inc./jobs/Head-Robotic-Software-e4793e0249cc3030?fccid=e1891d2664808c11&vjs=3
Electrical Engineer (Manufacturing),ProMach,"Richmond, BC",,0,indeed.com/rc/clk?jk=e34b6167f2df28f1&fccid=27021f4936bfffb0&vjs=3
Remote Handling Beamlines Mechanical Engineer,TRIUMF,"Remote in Vancouver, BC",,0,indeed.com/company/TRIUMF/jobs/Remote-Handling-Beamline-Mechanical-Engineer-70408d128f9ae5ba?fccid=1e3594a0673dd56c&vjs=3
Mechanical Engineering Co-Op,Stryker,"Burnaby, BC",,0,indeed.com/rc/clk?jk=ec535cb2f8b3c093&fccid=9d4dbca3ed8b9cdf&vjs=3
Sr. Dynamics Controls Engineer,Rivian Automotive,"Vancouver, BC",,0,indeed.com/rc/clk?jk=c92f96fb736124f7&fccid=ab392afaee93f976&vjs=3
Electrical Engineer (Manufacturing),Wexxar Packaging,"Richmond, BC",,0,indeed.com/rc/clk?jk=7a4cd156627e9a8d&fccid=deb2cc13c049961b&vjs=3
Hardware Systems Design Engineer,Weir Group,"Vancouver, BC",,0,indeed.com/rc/clk?jk=1c05c8e9fe8178a9&fccid=8137be09b3b9a5db&vjs=3
Senior Embedded Engineer,Zinc8 Energy Solutions Inc.,"Richmond, BC+1 location",,0,indeed.com/rc/clk?jk=32361df595c72e00&fccid=5c9a5be72af7ea34&vjs=3
Field Services Engineer,Weir Group,"Remote in Vancouver, BC",,0,indeed.com/rc/clk?jk=9d349e50f2ecaf27&fccid=8137be09b3b9a5db&vjs=3
Automation Controls Engineering Lead,automationX Industrial Solutions,"Hybrid remote in Vancouver, BC",,0,indeed.com/company/automationX/jobs/Automation-Control-Engineering-Lead-bff0accb209848a8?fccid=32b4c2823524e6e5&vjs=3
Junior Mechanical/ Mechatronics Engineer,Norsat International Inc.,"Richmond, BC",,0,indeed.com/rc/clk?jk=2641c2a5045b1b1a&fccid=058f788ce0775a15&vjs=3
Mechanical Engineer,Pall,"Vancouver, BC",,0,indeed.com/rc/clk?jk=8a2f5e665e2bc74b&fccid=6b9db9eca92347b6&vjs=3
Senior Electronics Engineer,Ballard Power Systems Inc.,"Vancouver, BC",,0,indeed.com/rc/clk?jk=5a33b54df7aed6d1&fccid=0ef6dc28de653b3a&vjs=3
Field Service Engineer,Sanctuary AI,"Vancouver, BC",,0,indeed.com/rc/clk?jk=6f95b43dafbe0952&fccid=e6babae295ce401e&vjs=3
Senior Electrical Test Engineer,Enersys,"Burnaby, BC",,0,indeed.com/rc/clk?jk=a268dc66bc64e4a9&fccid=32d6ff8cab0a14ae&vjs=3
"HEAD OF ROBOTICS SOFTWARE - STARTUP (IoT, embedded, and backend)",Cibotica Inc.,"Vancouver, BC",,0,indeed.com/company/Cibotica-Inc./jobs/Head-Robotic-Software-e4793e0249cc3030?fccid=e1891d2664808c11&vjs=3
Electrical Engineer (Manufacturing),ProMach,"Richmond, BC",,0,indeed.com/rc/clk?jk=e34b6167f2df28f1&fccid=27021f4936bfffb0&vjs=3
Remote Handling Beamlines Mechanical Engineer,TRIUMF,"Remote in Vancouver, BC",,0,indeed.com/company/TRIUMF/jobs/Remote-Handling-Beamline-Mechanical-Engineer-70408d128f9ae5ba?fccid=1e3594a0673dd56c&vjs=3
Mechanical Engineering Co-Op,Stryker,"Burnaby, BC",,0,indeed.com/rc/clk?jk=ec535cb2f8b3c093&fccid=9d4dbca3ed8b9cdf&vjs=3
Sr. Dynamics Controls Engineer,Rivian Automotive,"Vancouver, BC",,0,indeed.com/rc/clk?jk=c92f96fb736124f7&fccid=ab392afaee93f976&vjs=3
Electrical Engineer (Manufacturing),Wexxar Packaging,"Richmond, BC",,0,indeed.com/rc/clk?jk=7a4cd156627e9a8d&fccid=deb2cc13c049961b&vjs=3
Hardware Systems Design Engineer,Weir Group,"Vancouver, BC",,0,indeed.com/rc/clk?jk=1c05c8e9fe8178a9&fccid=8137be09b3b9a5db&vjs=3
Senior Embedded Engineer,Zinc8 Energy Solutions Inc.,"Richmond, BC+1 location",,0,indeed.com/rc/clk?jk=32361df595c72e00&fccid=5c9a5be72af7ea34&vjs=3
Field Services Engineer,Weir Group,"Remote in Vancouver, BC",,0,indeed.com/rc/clk?jk=9d349e50f2ecaf27&fccid=8137be09b3b9a5db&vjs=3
Automation Controls Engineering Lead,automationX Industrial Solutions,"Hybrid remote in Vancouver, BC",,0,indeed.com/company/automationX/jobs/Automation-Control-Engineering-Lead-bff0accb209848a8?fccid=32b4c2823524e6e5&vjs=3
Junior Mechanical/ Mechatronics Engineer,Norsat International Inc.,"Richmond, BC",,0,indeed.com/rc/clk?jk=2641c2a5045b1b1a&fccid=058f788ce0775a15&vjs=3
Mechanical Engineer,Pall,"Vancouver, BC",,0,indeed.com/rc/clk?jk=8a2f5e665e2bc74b&fccid=6b9db9eca92347b6&vjs=3
Senior Electronics Engineer,Ballard Power Systems Inc.,"Vancouver, BC",,0,indeed.com/rc/clk?jk=5a33b54df7aed6d1&fccid=0ef6dc28de653b3a&vjs=3
Field Service Engineer,Sanctuary AI,"Vancouver, BC",,0,indeed.com/rc/clk?jk=6f95b43dafbe0952&fccid=e6babae295ce401e&vjs=3
Senior Electrical Test Engineer,Enersys,"Burnaby, BC",,0,indeed.com/rc/clk?jk=a268dc66bc64e4a9&fccid=32d6ff8cab0a14ae&vjs=3
"HEAD OF ROBOTICS SOFTWARE - STARTUP (IoT, embedded, and backend)",Cibotica Inc.,"Vancouver, BC",,0,indeed.com/company/Cibotica-Inc./jobs/Head-Robotic-Software-e4793e0249cc3030?fccid=e1891d2664808c11&vjs=3
Electrical Engineer (Manufacturing),ProMach,"Richmond, BC",,0,indeed.com/rc/clk?jk=e34b6167f2df28f1&fccid=27021f4936bfffb0&vjs=3
Remote Handling Beamlines Mechanical Engineer,TRIUMF,"Remote in Vancouver, BC",,0,indeed.com/company/TRIUMF/jobs/Remote-Handling-Beamline-Mechanical-Engineer-70408d128f9ae5ba?fccid=1e3594a0673dd56c&vjs=3
Mechanical Engineering Co-Op,Stryker,"Burnaby, BC",,0,indeed.com/rc/clk?jk=ec535cb2f8b3c093&fccid=9d4dbca3ed8b9cdf&vjs=3
Sr. Dynamics Controls Engineer,Rivian Automotive,"Vancouver, BC",,0,indeed.com/rc/clk?jk=c92f96fb736124f7&fccid=ab392afaee93f976&vjs=3
Electrical Engineer (Manufacturing),Wexxar Packaging,"Richmond, BC",,0,indeed.com/rc/clk?jk=7a4cd156627e9a8d&fccid=deb2cc13c049961b&vjs=3
Hardware Systems Design Engineer,Weir Group,"Vancouver, BC",,0,indeed.com/rc/clk?jk=1c05c8e9fe8178a9&fccid=8137be09b3b9a5db&vjs=3
Senior Embedded Engineer,Zinc8 Energy Solutions Inc.,"Richmond, BC+1 location",,0,indeed.com/rc/clk?jk=32361df595c72e00&fccid=5c9a5be72af7ea34&vjs=3
Field Services Engineer,Weir Group,"Remote in Vancouver, BC",,0,indeed.com/rc/clk?jk=9d349e50f2ecaf27&fccid=8137be09b3b9a5db&vjs=3
Automation Controls Engineering Lead,automationX Industrial Solutions,"Hybrid remote in Vancouver, BC",,0,indeed.com/company/automationX/jobs/Automation-Control-Engineering-Lead-bff0accb209848a8?fccid=32b4c2823524e6e5&vjs=3
Junior Mechanical/ Mechatronics Engineer,Norsat International Inc.,"Richmond, BC",,0,indeed.com/rc/clk?jk=2641c2a5045b1b1a&fccid=058f788ce0775a15&vjs=3
Mechanical Engineer,Pall,"Vancouver, BC",,0,indeed.com/rc/clk?jk=8a2f5e665e2bc74b&fccid=6b9db9eca92347b6&vjs=3
Senior Electronics Engineer,Ballard Power Systems Inc.,"Vancouver, BC",,0,indeed.com/rc/clk?jk=5a33b54df7aed6d1&fccid=0ef6dc28de653b3a&vjs=3
Field Service Engineer,Sanctuary AI,"Vancouver, BC",,0,indeed.com/rc/clk?jk=6f95b43dafbe0952&fccid=e6babae295ce401e&vjs=3
Senior Electrical Test Engineer,Enersys,"Burnaby, BC",,0,indeed.com/rc/clk?jk=a268dc66bc64e4a9&fccid=32d6ff8cab0a14ae&vjs=3
"HEAD OF ROBOTICS SOFTWARE - STARTUP (IoT, embedded, and backend)",Cibotica Inc.,"Vancouver, BC",,0,indeed.com/company/Cibotica-Inc./jobs/Head-Robotic-Software-e4793e0249cc3030?fccid=e1891d2664808c11&vjs=3
Electrical Engineer (Manufacturing),ProMach,"Richmond, BC",,0,indeed.com/rc/clk?jk=e34b6167f2df28f1&fccid=27021f4936bfffb0&vjs=3
Remote Handling Beamlines Mechanical Engineer,TRIUMF,"Remote in Vancouver, BC",,0,indeed.com/company/TRIUMF/jobs/Remote-Handling-Beamline-Mechanical-Engineer-70408d128f9ae5ba?fccid=1e3594a0673dd56c&vjs=3
Mechanical Engineering Co-Op,Stryker,"Burnaby, BC",,0,indeed.com/rc/clk?jk=ec535cb2f8b3c093&fccid=9d4dbca3ed8b9cdf&vjs=3
